namePlayerBREF,slugPlayerBREF,BadPassTO
Aaron Gordon,gordoaa01,69
Aaron Holiday,holidaa01,23
Abdel Nader,naderab01,6
Al Horford,horfoal01,47
Al-Farouq Aminu,aminual01,29
Alan Williams,willial03,1
Alec Burks,burksal01,35
Alex Abrines,abrinal01,4
Alex Caruso,carusal01,29
Alex Len,lenal01,28
Alex Poythress,poythal01,3
Alfonzo McKinnie,mckinal01,11
Alize Johnson,johnsal02,0
Allen Crabbe,crabbal01,16
Allonzo Trier,trieral01,52
Amile Jefferson,jeffeam01,0
Amir Johnson,johnsam01,19
Andre Drummond,drumman01,39
Andre Iguodala,iguodan01,37
Andre Ingram,ingraan01,1
Andrew Bogut,bogutan01,3
Andrew Harrison,harrian01,7
Andrew Wiggins,wiggian01,50
Anfernee Simons,simonan01,3
Angel Delgado,delgaan01,0
Ante Zizic,zizican01,10
Anthony Davis,davisan02,44
Anthony Tolliver,tollian01,20
Antonio Blakeney,blakean01,13
Aron Baynes,baynear01,9
Austin Rivers,riverau01,30
Avery Bradley,bradlav01,59
BJ Johnson,johnsbj01,0
Bam Adebayo,adebaba01,35
Ben McLemore,mclembe01,2
Ben Simmons,simmobe01,148
Billy Garrett,garrebi01,1
Bismack Biyombo,biyombi01,11
Blake Griffin,griffbl01,122
Boban Marjanovic,marjabo01,20
Bobby Portis,portibo01,10
Bogdan Bogdanovic,bogdabo01,69
Bojan Bogdanovic,bogdabo02,60
Bonzie Colson,colsobo01,0
Brad Wanamaker,wanambr01,13
Bradley Beal,bealbr01,124
Brandon Goodwin,goodwbr01,2
Brandon Ingram,ingrabr01,51
Brandon Knight,knighbr03,15
Brandon Sampson,sampsbr01,5
Brook Lopez,lopezbr01,32
Bruce Brown,brownbr01,21
Bruno Caboclo,cabocbr01,16
Bryn Forbes,forbebr01,37
Buddy Hield,hieldbu01,70
CJ Miles,milescj01,16
C.J. Williams,willicj01,2
Caleb Swanigan,swanica01,3
Cameron Payne,payneca01,27
Cameron Reynolds,reynoca01,0
Caris LeVert,leverca01,36
Carmelo Anthony,anthoca01,2
Cedi Osman,osmande01,63
Chandler Hutchison,hutchch01,11
Chandler Parsons,parsoch01,24
Channing Frye,fryech01,7
Chasson Randle,randlch01,21
Cheick Diallo,diallch01,14
Chimezie Metu,metuch01,7
Chris Boucher,bouchch01,2
Chris Chiozza,chiozch01,1
Chris Paul,paulch01,114
Christian Wood,woodch01,5
CJ McCollum,mccolcj01,51
Clint Capela,capelca01,22
Cody Zeller,zelleco01,22
Collin Sexton,sextoco01,69
Corey Brewer,breweco01,9
Cory Joseph,josepco01,57
Courtney Lee,leeco01,8
Cristiano Felicio,feliccr01,11
D'Angelo Russell,russeda01,150
D.J. Augustin,augusdj01,82
D.J. Stephens,stephdj01,1
D.J. Wilson,wilsodj01,16
Dairis Bertans,bertada02,1
Damian Jones,jonesda03,4
Damian Lillard,lillada01,151
Damion Lee,leeda03,5
Damyean Dotson,dotsoda01,40
Daniel Hamilton,hamilda02,10
Daniel Theis,theisda01,9
Danilo Gallinari,gallida01,51
Danny Green,greenda02,42
Dante Cunningham,cunnida01,16
Dante Exum,exumda01,26
Danuel House Jr.,houseda01,13
Dario Saric,saricda01,36
Darius Miller,milleda01,40
Darren Collison,collida01,78
Daryl Macon,maconda01,4
David Nwaba,nwabada01,16
Davis Bertans,bertada01,25
Davon Reed,reedda01,1
De'Aaron Fox,foxde01,144
De'Anthony Melton,meltode01,49
Deandre Ayton,aytonde01,32
DeAndre Jordan,jordade01,78
DeAndre' Bembry,bembrde01,72
Delon Wright,wrighde01,38
DeMar DeRozan,derozde01,94
DeMarcus Cousins,couside01,26
DeMarre Carroll,carrode01,25
Demetrius Jackson,jacksde01,0
Deng Adel,adelde01,2
Dennis Schroder,schrode01,118
Dennis Smith Jr.,smithde03,98
Deonte Burton,burtode02,5
Derrick Favors,favorde01,34
Derrick Jones Jr.,jonesde02,18
Derrick Rose,rosede01,42
Derrick White,whitede01,61
DeVaughn Akoon-Purcell,akoonde01,0
Devin Booker,bookede01,153
Devin Harris,harride01,31
Devin Robinson,robinde01,1
Devonte' Graham,grahade01,20
Dewayne Dedmon,dedmode01,37
Deyonta Davis,davisde01,1
Dillon Brooks,brookdi01,14
Dion Waiters,waitedi01,38
Dirk Nowitzki,nowitdi01,6
Domantas Sabonis,sabondo01,56
Donatas Motiejunas,motiedo01,0
Donovan Mitchell,mitchdo01,115
Donte DiVincenzo,divindo01,9
Donte Grantham,grantdo01,0
Dorian Finney-Smith,finnedo01,33
Doug McDermott,mcderdo01,21
Dragan Bender,bendedr01,18
Draymond Green,greendr01,127
Drew Eubanks,eubandr01,2
Duncan Robinson,robindu01,3
Dusty Hannahs,hannadu01,0
Dwayne Bacon,bacondw01,8
Dwight Howard,howardw01,5
Dwight Powell,poweldw01,26
Dwyane Wade,wadedw01,113
Dzanan Musa,musadz01,2
E'Twaun Moore,mooreet01,28
Ed Davis,davised01,13
Edmond Sumner,sumneed01,4
Ekpe Udoh,udohek01,2
Elfrid Payton,paytoel01,71
Elie Okobo,okoboel01,46
Emanuel Terry,terryem01,0
Emmanuel Mudiay,mudiaem01,71
Enes Kanter,kanteen01,29
Eric Bledsoe,bledser01,94
Eric Gordon,gordoer01,38
Eric Moreland,moreler01,4
Ersan Ilyasova,ilyaser01,18
Evan Fournier,fournev01,94
Evan Turner,turneev01,83
Frank Jackson,jacksfr01,29
Frank Kaminsky,kaminfr01,12
Frank Mason,masonfr01,22
Frank Ntilikina,ntilila01,32
Fred VanVleet,vanvlfr01,55
Furkan Korkmaz,korkmfu01,11
Garrett Temple,templga01,37
Gary Clark,clarkga01,5
Gary Harris,harriga01,30
Gary Payton II,paytoga02,0
Gary Trent Jr.,trentga02,1
George Hill,hillge01,26
George King,kingge03,0
Georges Niang,niangge01,14
Gerald Green,greenge01,27
Giannis Antetokounmpo,antetgi01,80
Glenn Robinson III,robingl02,7
Goran Dragic,dragigo01,40
Gordon Hayward,haywago01,48
Gorgui Dieng,dienggo01,17
Grayson Allen,allengr01,12
Greg Monroe,monrogr01,9
Guerschon Yabusele,yabusgu01,6
Hamidou Diallo,diallha01,10
