"","Player","GS","FGM","FGA","FGPct","ThreePM","ThreePA","ThreePtPct","TwoPM","TwoPA","TwoPtPct","eFGPct","FTM","FTA","FTPct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PPG","Position","Age","GP","MP","PER","TSPct","ThreePAr","FTr","ORBPct","DRBPct","TRBPct","ASTPct","STLPct","BLKPct","TOVPct","Usage","OWinS","DWinS","TotWS","WSper48","OBPM","DBPM","BPM","VORP","Salary"
"1","Aaron Brooks",1,0.9,2.2,0.406,0.3,1,0.3,0.5,1.2,0.447,0.486,0.3,0.3,0.727,0.2,0.3,0.5,0.6,0.2,0,0.3,0.9,2.3,"PG",33,32,189,9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-0.8,-3.6,-4.3,-0.1,2116955
"2","Aaron Gordon",57,6.5,14.9,0.434,2,5.9,0.338983051,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,1.9,17.6,"PF",22,58,1909,16.5,0.53,0.395,0.26,5,21.5,13.2,11.7,1.5,1.9,10,24.7,0.9,2,2.9,0.072,0,0,0,1,5504420
"3","Abdel Nader",1,1,3.1,0.336,0.5,1.4,0.357142857,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,3,"SF",24,48,522,5.1,0.439,0.436,0.262,2.8,12,7.4,7.1,1.4,1.6,17,17.1,-0.9,0.8,-0.1,-0.014,-5.9,0.3,-5.6,-0.5,1167333
"4","Al Horford",72,5.1,10.5,0.489,1.3,3.1,0.419354839,3.8,7.3,0.514,0.553,1.3,1.7,0.783,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,"C",31,72,2277,17.6,0.575,0.3,0.159,5,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4,3.8,7.8,0.165,1.1,2.9,4,3.5,27734405
"5","Al Jefferson",1,3.1,5.8,0.534,0,0.1,0,3.1,5.7,0.541,0.534,0.8,1,0.833,0.8,3.1,4,0.8,0.4,0.6,0.6,1.8,7,"C",33,36,484,20.2,0.563,0.014,0.173,7,26.2,16.7,10,1.7,4.2,8.6,22.5,0.8,0.8,1.6,0.158,-1.7,1.3,-0.5,0.2,9769821
"6","Al-Farouq Aminu",67,3.3,8.4,0.395,1.8,4.9,0.367346939,1.5,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2,9.3,"PF",27,69,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.8,1.9,1.1,1.6,7319035
"7","Alec Burks",1,2.7,6.5,0.411,0.7,2.2,0.318181818,1.9,4.3,0.452,0.467,1.7,1.9,0.863,0.3,2.7,3,1,0.6,0.1,0.9,1.2,7.7,"SG",26,64,1059,13.1,0.527,0.343,0.3,2.1,18.4,10.3,10,1.8,0.6,11.4,22.5,0.2,1.6,1.9,0.084,-2.5,-0.3,-2.8,-0.2,10845506
"8","Alex Abrines",8,1.5,3.9,0.395,1.1,2.9,0.379310345,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,"SG",24,75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-0.5,-1.7,-2.2,-0.1,5725000
"9","Alex Len",13,3.1,5.5,0.566,0,0,0,3.1,5.4,0.568,0.567,2.3,3.3,0.684,2.5,5,7.5,1.2,0.4,0.9,1.1,2.3,8.5,"C",24,69,1395,19.4,0.612,0.008,0.611,13.2,26.7,19.8,9.1,0.9,3.5,14,17,3.2,1.3,4.5,0.154,-0.3,1.1,0.8,1,4187599
"10","Allen Crabbe",68,4.5,11,0.407,2.7,7.1,0.38028169,1.8,3.9,0.461,0.529,1.5,1.8,0.852,0.4,3.9,4.3,1.6,0.6,0.5,1,2.2,13.2,"SG",25,75,2197,12.3,0.558,0.643,0.163,1.3,14.4,7.8,8.4,1,1.2,8.1,19,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7,19332500
